"longitud" "frecuencia"
"1" 1 4369116
"2" 2 27252660
"3" 3 13713120
"4" 4 6855409
"5" 5 8087635
"6" 6 7303700
"7" 7 8170397
"8" 8 6922078
"9" 9 4989827
"10" 10 4770279
"11" 11 3547249
"12" 12 1875927
"13" 13 1059807
"14" 14 574732.5
"15" 15 278170.5
"16" 16 119544.4
"17" 17 48277.53
"18" 18 41380.74
"19" 19 8046.254
"20" 20 5747.325
"21" 21 2298.93
"22" 22 3448.395
"23" 23 1149.465
